distance,consume,speed,temp_inside,temp_outside,total_bbm
8.7,5.3,28,22.5,12,0.4610999999999999
7.9,4.7,31,22.5,12,0.3713
2.4,9.0,26,20.0,10,0.21599999999999997
4.9,6.3,26,20.0,10,0.30870000000000003
18.1,3.6,36,20.0,19,0.6516000000000001
25.9,3.7,39,20.0,21,0.9582999999999999
1.3,11.5,21,20.0,10,0.14950000000000002
14.1,5.0,22,20.0,12,0.705
13.4,5.5,31,20.0,9,0.737
6.4,4.7,33,20.0,8,0.3008
12.9,4.5,42,20.0,13,0.5805
12.1,4.4,33,22.5,5,0.5324
15.7,4.1,32,22.5,13,0.6436999999999999
16.2,4.4,26,22.5,11,0.7128
12.8,4.6,22,22.5,12,0.5888
19.0,4.4,58,22.5,17,0.8360000000000001
29.0,4.0,27,22.5,12,1.16
12.1,5.0,32,22.5,9,0.605
12.3,5.2,55,22.5,10,0.6396000000000001
24.8,4.0,56,22.5,11,0.992
12.9,5.1,34,22.5,8,0.6578999999999999
11.8,4.5,39,22.5,3,0.531
31.4,4.6,62,22.5,11,1.4443999999999997
19.0,5.1,53,22.5,4,0.9689999999999999
13.0,5.7,38,22.5,3,0.7410000000000001
11.8,4.8,42,22.5,2,0.5664
13.0,6.2,32,22.5,4,0.806
11.8,5.0,43,22.5,1,0.59
27.1,5.0,69,22.5,8,1.355
5.2,4.6,38,22.5,8,0.23919999999999997
19.0,4.5,29,22.5,10,0.855
12.4,4.8,38,22.5,1,0.5952
25.2,5.0,55,22.5,9,1.26
14.3,4.8,36,22.5,10,0.6864
11.8,4.6,40,22.5,2,0.5428000000000001
16.9,4.5,48,22.5,9,0.7605
12.4,4.6,55,22.5,11,0.5704
17.4,4.4,36,22.5,12,0.7656000000000001
9.2,5.7,33,22.5,8,0.5244
12.3,5.8,54,22.5,10,0.7134
13.0,5.9,32,22.5,10,0.767
11.8,6.1,16,22.5,6,0.7198
13.0,5.7,37,22.5,11,0.7410000000000001
12.3,5.0,42,22.5,10,0.615
12.3,5.2,57,22.5,15,0.6396000000000001
12.5,4.3,57,22.5,16,0.5375
31.5,4.1,30,22.5,16,1.2914999999999999
11.8,4.4,42,22.5,8,0.5192000000000001
24.9,4.5,53,22.5,14,1.1205
17.0,3.9,46,22.5,14,0.6629999999999999
2.0,8.1,20,22.5,14,0.162
11.8,4.4,33,22.5,8,0.5192000000000001
7.4,5.0,31,22.5,12,0.37
12.4,4.7,55,22.5,14,0.5828
2.0,6.0,22,22.5,14,0.12
14.0,5.0,41,22.5,8,0.7
25.7,5.0,45,22.5,7,1.285
11.8,4.5,28,22.5,12,0.531
4.1,5.4,24,22.5,13,0.2214
4.2,5.6,29,22.0,17,0.2352
4.2,3.9,29,22.0,18,0.1638
16.0,4.0,40,22.0,10,0.64
15.4,4.5,50,22.0,14,0.693
16.0,3.8,41,22.0,12,0.608
4.2,5.6,32,22.0,18,0.2352
101.9,5.2,75,22.0,18,5.2988
93.9,4.8,88,23.0,18,4.5072
25.7,4.9,50,22.0,10,1.2593
16.0,4.1,40,22.0,10,0.6559999999999999
16.1,4.5,32,22.0,19,0.7245
16.0,4.4,40,22.0,7,0.7040000000000001
16.0,4.5,41,22.0,11,0.72
24.7,4.5,26,22.0,10,1.1115
16.0,3.9,42,22.0,8,0.624
15.4,4.6,43,22.0,16,0.7083999999999999
16.0,3.8,40,22.0,8,0.608
32.1,4.5,50,22.0,16,1.4445000000000001
25.9,4.4,40,22.0,14,1.1396000000000002
48.6,4.3,44,22.0,12,2.0898
37.2,4.0,45,22.0,20,1.4880000000000002
28.8,3.9,35,22.0,15,1.1232
6.7,5.0,30,22.0,17,0.335
7.4,4.1,25,22.0,18,0.3034
17.3,4.1,22,22.0,25,0.7092999999999999
6.6,5.6,43,22.0,16,0.36959999999999993
14.3,4.1,26,22.0,20,0.5862999999999999
13.3,4.6,33,22.0,18,0.6118
8.3,4.9,26,22.0,23,0.40670000000000006
12.7,4.5,39,22.0,27,0.5715
16.5,4.1,47,22.0,14,0.6764999999999999
20.6,4.1,38,22.0,21,0.8445999999999999
16.3,4.5,58,22.0,16,0.7335
18.7,4.2,65,25.0,18,0.7854000000000001
36.5,3.9,54,23.0,18,1.4235
19.0,5.0,35,22.0,15,0.95
16.6,4.4,46,22.0,5,0.7304
29.9,4.5,32,22.0,18,1.3455
16.0,3.8,42,22.0,11,0.608
21.1,5.1,33,22.0,10,1.0761
16.0,3.9,40,22.0,10,0.624
11.9,5.3,34,22.0,13,0.6307
10.1,4.2,35,22.0,16,0.4242
31.9,4.3,33,22.0,16,1.3717
18.7,4.0,60,22.0,13,0.748
10.8,4.7,48,22.0,17,0.5076
19.8,4.0,56,22.0,17,0.792
11.3,4.3,38,22.0,17,0.48590000000000005
11.5,5.3,53,22.0,15,0.6094999999999999
21.4,5.2,51,22.0,13,1.1128
32.0,4.9,53,22.0,15,1.568
41.9,4.7,53,22.0,14,1.9693
211.0,4.6,80,22.0,20,9.706
216.1,5.3,90,22.0,21,11.453299999999999
25.5,3.6,27,22.0,27,0.9179999999999999
16.6,4.2,52,22.0,15,0.6972000000000002
25.9,4.1,43,22.0,24,1.0618999999999998
16.5,4.0,48,22.0,15,0.66
22.1,3.9,29,22.0,26,0.8619
16.6,3.7,49,22.0,17,0.6142000000000001
15.4,4.5,43,22.0,24,0.693
16.5,3.9,43,22.0,17,0.6435
15.4,5.1,21,22.0,24,0.7853999999999999
18.4,4.2,59,22.0,24,0.7728
39.5,4.2,58,22.0,25,1.659
21.5,4.8,47,25.0,27,1.032
4.8,4.7,26,25.0,18,0.2256
100.9,4.7,87,23.5,22,4.7423
129.7,4.6,58,24.0,21,5.966199999999999
16.6,3.8,43,21.5,16,0.6308
15.4,4.2,50,21.5,21,0.6468
16.0,3.7,45,22.0,17,0.5920000000000001
16.0,4.2,41,22.0,15,0.672
15.4,4.1,45,22.0,24,0.6314
16.0,4.0,43,22.0,16,0.64
21.0,3.8,37,22.0,21,0.7979999999999999
15.4,3.8,47,22.0,24,0.5851999999999999
16.0,3.8,42,22.0,17,0.608
16.1,5.1,30,25.0,16,0.8210999999999999
16.0,4.0,42,22.0,15,0.64
15.4,4.8,40,22.0,18,0.7392
17.2,3.9,35,22.0,16,0.6708
16.6,4.6,50,22.0,25,0.7636
18.3,4.3,46,22.0,16,0.7868999999999999
16.1,4.8,36,22.0,18,0.7728
16.0,4.1,46,22.0,17,0.6559999999999999
16.3,4.0,35,22.0,23,0.652
16.0,3.7,44,22.0,16,0.5920000000000001
18.3,4.3,46,22.0,23,0.7868999999999999
4.5,5.2,23,22.0,23,0.234
17.0,4.2,48,22.0,16,0.7140000000000001
6.1,5.0,35,24.5,18,0.305
6.1,5.0,33,22.0,24,0.305
17.3,4.2,36,22.0,22,0.7266000000000001
6.0,4.8,27,22.0,17,0.288
16.0,4.1,45,22.0,15,0.6559999999999999
15.4,4.9,55,22.0,18,0.7546
15.4,4.3,39,22.0,23,0.6622
16.0,3.9,35,22.0,18,0.624
15.4,4.5,52,22.0,26,0.693
16.6,4.1,48,25.5,30,0.6806
15.4,5.0,48,25.5,31,0.77
16.0,4.0,43,22.0,21,0.64
15.4,4.5,42,22.0,30,0.693
16.0,3.6,43,22.0,19,0.5760000000000001
20.9,4.1,33,22.0,21,0.8568999999999999
32.1,3.9,47,22.0,26,1.2519
15.3,6.6,16,24.0,27,1.0098
28.5,4.0,44,25.0,23,1.14
11.9,3.7,33,25.0,19,0.4403
14.5,4.3,36,25.0,22,0.6234999999999999
16.6,4.1,49,22.0,26,0.6806
16.2,4.4,39,24.5,17,0.7128
16.7,3.8,44,24.5,23,0.6345999999999999
8.3,5.0,52,24.5,27,0.415
5.5,3.7,33,24.5,28,0.20350000000000001
13.6,3.7,33,24.5,28,0.5032
16.0,3.7,39,24.5,18,0.5920000000000001
16.1,4.3,38,25.0,31,0.6923
16.0,3.8,45,25.0,19,0.608
15.4,4.6,42,25.0,31,0.7083999999999999
14.7,5.0,25,25.0,30,0.735
